number_of_match,team_home,team_away,home_score,away_score,posession_home,posession_away,total_shots_home,total_shots_away,shots_on_target_home,shots_on_target_away,shots_off_target_home,shots_off_target_away,blocked_shots_home,blocked_shots_away,corner_kicks_home,corner_kicks_away,offsides_home,offsides_away,fouls_home,fouls_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,free_kicks_home,free_kicks_away,throw_ins_home,throw_ins_away,goal_kicks_home,goal_kicks_away,big_chances_home,big_chances_away,big_chances_missed_home,big_chances_missed_away,hit_woodwork_home,hit_woodwork_away,counter_attacks_home,counter_attacks_away,counter_attacks_shots_home,counter_attacks_shots_away,shots_inside_box_home,shots_inside_box_away,shots_outside_box_home,shots_outside_box_away,goalkeeper_saves_home,goalkeeper_saves_away,passes_home,passes_away,accurate_passes_home,accurate_passes_away,long_balls_home,long_balls_away,crosses_home,crosses_away,dribbles_home,dribbles_away,possesion_lost_home,possesion_lost_away,duels_won_home,duels_won_away,aerials_won_home,aerials_won_away,tackles_home,tackles_away,interceptions_home,interceptions_away,clearences_home,clearences_away
37,Bayer 04 Leverkusen,1. FC Union Berlin,2,0,67,33,20,4,7,0,7,2,6,2,8,1,2,1,10,11,0,1,0,1,10,10,,,2,8,2,0,2,0,1,0,,,,,11,2,9,2,0,5,757,365,678,272,40,34,3,2,11,10,,,41,51,8,15,12,16,8,16,,
33,RB Leipzig,Bayern München,1,1,32,68,12,14,5,7,3,6,4,1,3,6,1,2,12,4,4,2,0,0,4,11,,,10,5,2,2,1,1,0,2,0,2,,,8,9,4,5,6,4,362,760,275,667,18,42,0,5,11,21,,,45,60,7,14,23,14,18,11,,
5,Wolfsburg,1. FC Köln,2,1,47,53,15,11,5,2,4,4,6,5,2,6,3,1,15,18,1,3,0,0,18,15,,,7,5,1,1,,,0,1,1,0,,,4,6,11,5,1,3,377,411,281,312,23,35,1,4,11,9,,,65,64,19,18,17,22,9,11,,
14,1899 Hoffenheim,Werder Bremen,3,2,54,46,10,18,3,6,3,5,4,7,3,6,5,1,14,17,2,5,0,1,15,13,,,5,6,2,1,0,1,,,,,,,8,12,2,6,3,0,510,425,430,325,19,26,4,4,5,7,,,56,56,27,24,11,13,11,6,,
2,Borussia Dortmund,Augsburg,5,1,78,22,22,5,10,1,10,3,2,1,10,0,,,8,7,,,0,0,6,8,,,4,16,6,2,2,1,,,,,,,15,5,7,0,0,4,886,246,818,177,40,25,8,1,17,7,,,46,50,10,7,13,28,7,16,,
7,Eintracht Frankfurt,1899 Hoffenheim,1,0,31,69,15,9,8,1,4,6,3,2,10,5,2,4,19,9,3,1,0,0,9,16,,,6,7,3,1,3,1,,,1,0,,,11,7,4,2,1,6,250,567,158,468,18,30,6,4,13,10,,,58,64,15,24,21,15,7,9,,
19,Bayer 04 Leverkusen,1899 Hoffenheim,0,0,75,25,20,6,2,1,11,4,7,1,19,0,4,4,9,12,2,2,0,0,11,8,,,7,11,1,1,1,1,,,,,,,13,5,7,1,1,2,632,219,547,137,32,18,8,1,16,6,,,54,53,17,21,10,18,7,6,,
10,1. FSV Mainz 05,Borussia M'gladbach,1,3,47,53,20,15,4,6,10,3,6,6,3,5,1,0,13,15,2,2,0,0,14,12,,,3,14,2,3,1,1,,,0,2,,,12,11,8,4,3,3,378,422,299,334,35,31,7,3,5,7,,,67,58,27,21,22,18,13,9,,
25,Werder Bremen,Augsburg,3,2,66,34,15,12,5,6,9,5,1,1,4,2,0,1,10,14,1,4,0,1,12,9,,,5,15,3,2,0,1,0,1,2,2,,,10,8,5,4,4,3,570,283,476,190,37,32,6,5,7,4,,,53,42,22,18,14,12,4,8,,
8,1. FC Union Berlin,RB Leipzig,0,4,35,65,13,14,2,8,6,5,5,1,3,6,3,1,14,7,1,0,0,0,5,14,,,7,7,0,8,0,7,0,2,1,1,,,6,13,7,1,4,2,325,605,231,516,22,26,1,4,10,10,,,48,55,18,17,15,14,16,13,,
