number_of_match,team_home,team_away,home_score,away_score,posession_home,posession_away,total_shots_home,total_shots_away,shots_on_target_home,shots_on_target_away,shots_off_target_home,shots_off_target_away,blocked_shots_home,blocked_shots_away,corner_kicks_home,corner_kicks_away,offsides_home,offsides_away,fouls_home,fouls_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,free_kicks_home,free_kicks_away,throw_ins_home,throw_ins_away,goal_kicks_home,goal_kicks_away,big_chances_home,big_chances_away,big_chances_missed_home,big_chances_missed_away,hit_woodwork_home,hit_woodwork_away,counter_attacks_home,counter_attacks_away,counter_attacks_shots_home,counter_attacks_shots_away,shots_inside_box_home,shots_inside_box_away,shots_outside_box_home,shots_outside_box_away,goalkeeper_saves_home,goalkeeper_saves_away,passes_home,passes_away,accurate_passes_home,accurate_passes_away,long_balls_home,long_balls_away,crosses_home,crosses_away,dribbles_home,dribbles_away,possesion_lost_home,possesion_lost_away,duels_won_home,duels_won_away,aerials_won_home,aerials_won_away,tackles_home,tackles_away,interceptions_home,interceptions_away,clearences_home,clearences_away
4,Montpellier,Stade Rennais,0,1,55,45,24,9,5,3,12,4,7,2,7,1,,,20,19,3,3,0,1,19,18,,,5,11,4,1,4,0,1,0,,,,,16,5,8,4,2,5,442,374,362,301,49,25,10,1,9,7,,,73,63,31,22,15,17,7,11,,
47,FC Nantes,Stade de Reims,1,0,53,47,8,9,4,1,4,3,0,5,7,5,1,1,18,15,1,3,0,0,14,17,,,9,6,,,,,,,,,,,6,7,2,2,1,3,484,413,381,323,22,25,2,4,8,6,,,64,61,23,23,20,16,10,10,,
18,Stade de Reims,Strasbourg,0,0,58,42,11,5,1,2,7,2,3,1,2,4,0,1,18,19,2,0,0,0,18,16,,,5,10,0,2,0,2,,,,,,,6,4,5,1,2,1,556,387,474,314,33,35,6,2,3,4,,,53,46,17,17,17,10,11,10,,
54,OGC Nice,Dijon,2,1,66,34,16,13,6,7,5,4,5,2,6,3,3,0,7,13,2,3,0,0,13,5,,,4,8,1,2,0,1,,,,,,,9,9,7,4,6,4,604,307,518,239,21,30,2,1,20,10,,,58,49,8,9,18,25,14,13,,
6,Stade Brestois 29,Toulouse,1,1,37,63,16,12,5,3,9,5,2,4,4,7,,,11,14,,,0,0,10,11,,,5,10,3,2,2,1,1,0,2,0,,,11,9,5,3,1,4,331,551,236,461,28,25,2,7,6,6,,,53,52,12,20,25,15,12,8,,
26,Paris Saint-Germain,Toulouse,4,0,71,29,21,3,11,0,9,2,1,1,12,1,3,1,8,13,0,1,0,0,12,8,,,2,11,8,1,6,1,1,0,,,,,18,3,3,0,0,8,662,267,607,201,15,17,7,3,12,12,,,46,50,7,9,15,21,8,11,,
16,Toulouse,Dijon,1,0,53,47,18,18,6,5,8,11,4,2,7,5,3,0,11,5,2,0,0,0,4,11,,,15,13,2,1,1,1,1,0,1,0,,,11,9,7,9,5,5,471,420,397,346,17,26,9,4,16,13,,,52,62,16,18,17,20,8,12,,
32,Angers,Dijon,2,0,43,57,12,5,3,1,3,2,6,2,5,3,2,0,11,17,0,2,0,0,17,9,,,6,8,2,2,1,2,2,0,2,1,,,6,4,6,1,1,2,366,500,291,423,22,27,4,2,10,8,,,60,59,16,21,17,21,15,17,,
63,Lille OSC,Strasbourg,2,0,65,35,12,5,5,1,3,3,4,1,4,2,1,1,7,12,0,1,0,0,12,6,,,7,10,5,0,3,0,,,1,1,,,9,3,3,2,1,3,650,351,594,282,32,40,2,2,2,10,,,32,50,7,16,14,18,7,6,,
2,Angers,Bordeaux,3,1,47,53,14,8,4,3,8,3,2,2,4,3,2,1,11,15,2,1,0,0,13,10,,,6,15,4,2,2,2,,,2,0,,,5,4,9,4,2,1,422,470,329,384,28,17,5,1,18,13,,,76,53,21,20,25,12,8,10,,
13,Bordeaux,Montpellier,1,1,64,36,13,10,4,4,7,2,2,4,3,5,1,5,15,21,2,1,0,0,21,13,,,2,9,1,1,,,1,0,,,,,7,4,6,6,3,3,563,292,477,204,26,27,3,2,14,8,,,68,64,26,13,10,29,13,12,,
59,Olympique Lyonnais,Paris Saint-Germain,0,1,37,63,12,21,0,7,10,4,2,10,2,11,1,1,8,6,1,1,0,0,6,8,,,8,9,0,1,0,1,,,1,0,,,3,13,9,8,6,0,396,678,352,625,18,37,2,4,12,14,,,39,58,5,4,17,32,5,6,,
57,Stade Rennais,Lille OSC,1,1,50,50,11,15,3,6,6,3,2,6,4,8,2,0,14,11,2,2,0,0,10,14,,,5,10,1,1,,,,,0,1,,,4,7,7,8,5,2,443,430,366,362,31,28,3,5,11,10,,,53,63,15,22,18,20,4,9,,
21,Angers,Metz,3,0,37,63,15,4,5,2,8,2,2,0,2,1,,,15,8,1,2,0,0,8,15,,,8,9,3,0,1,0,2,1,1,1,,,8,1,7,3,2,2,350,607,270,526,21,22,4,0,5,10,,,43,54,14,12,16,18,13,11,,
24,AS Monaco,Nîmes Olympique,2,2,45,55,16,14,6,4,8,7,2,3,6,7,0,3,14,17,2,1,1,0,16,13,,,11,6,4,4,3,2,0,1,0,4,,,12,8,4,6,2,3,349,411,278,336,27,30,1,5,16,13,,,69,56,19,13,22,18,11,5,,
11,FC Nantes,Olympique de Marseille,0,0,54,46,13,9,6,2,3,5,4,2,7,3,2,2,16,18,0,3,0,0,16,15,,,10,6,0,2,0,2,,,1,0,,,4,6,9,3,2,6,452,384,360,303,41,28,7,6,7,8,,,62,57,20,24,20,11,6,6,,
3,Dijon,Saint-Étienne,1,2,52,48,15,12,7,4,4,6,4,2,12,5,0,1,17,10,0,2,0,0,8,17,,,7,10,3,1,2,0,,,0,1,,,9,7,6,5,2,5,457,422,374,340,38,18,8,3,9,5,,,55,55,22,18,16,18,13,10,,
39,Olympique de Marseille,Saint-Étienne,1,0,49,51,9,12,2,3,2,4,5,5,5,6,0,3,16,7,5,2,0,0,7,14,,,5,4,1,0,,,,,,,,,3,8,6,4,3,1,446,441,373,366,24,35,1,1,10,13,,,55,64,18,10,20,27,15,19,,
58,Angers,Saint-Étienne,4,1,50,50,14,6,5,2,5,3,4,1,5,4,1,3,13,12,1,1,0,0,10,13,,,8,8,4,2,0,1,0,1,2,0,,,10,4,4,2,1,1,475,464,392,370,31,26,4,5,12,14,,,56,55,18,13,18,16,21,12,,
12,Amiens,Lille OSC,1,0,49,51,8,9,3,0,3,6,2,3,3,10,1,4,13,7,1,1,0,1,6,11,,,6,7,1,0,,,,,3,0,,,5,2,3,7,0,2,420,406,332,306,21,24,3,3,4,11,,,50,54,19,18,21,15,11,13,,
15,Nîmes Olympique,OGC Nice,1,2,54,46,18,6,5,3,8,2,5,1,2,1,3,0,21,12,5,5,2,1,11,17,,,6,10,1,3,0,1,1,0,0,2,,,8,5,10,1,1,4,428,379,350,293,50,18,8,1,10,8,,,52,48,24,10,9,13,7,10,,
27,Montpellier,Olympique Lyonnais,1,0,50,50,19,14,5,4,8,5,6,5,8,2,,,14,11,2,4,0,1,10,13,,,6,10,2,2,2,2,2,0,,,,,8,5,11,9,4,4,479,470,409,400,37,36,5,3,8,8,,,50,53,14,18,18,15,6,10,,
1,Olympique de Marseille,Stade de Reims,0,2,63,37,10,8,2,5,2,1,6,2,5,3,0,3,18,8,1,0,0,0,8,18,,,2,10,2,3,2,1,1,0,0,2,,,5,5,5,3,3,2,572,333,488,245,26,23,4,0,10,8,,,50,61,17,12,16,23,11,16,,
22,Dijon,Bordeaux,0,2,47,53,10,10,1,3,8,3,1,4,3,7,1,1,12,18,0,2,0,0,17,11,,,5,8,,,,,,,0,2,,,3,7,7,3,1,1,462,517,391,426,31,27,4,3,17,15,,,72,65,15,14,24,26,12,9,,
25,Strasbourg,Stade Rennais,0,2,51,49,19,7,3,4,11,2,5,1,6,0,,,13,13,4,2,1,0,13,13,,,6,14,2,2,2,1,,,,,,,13,2,6,5,2,3,388,395,314,323,38,34,10,0,14,9,,,63,46,18,13,18,11,9,7,,
41,Amiens,Olympique Lyonnais,2,2,49,51,11,12,2,6,3,4,6,2,4,1,4,0,12,14,3,2,0,0,14,12,,,8,6,0,3,0,1,,,1,1,,,4,8,7,4,4,0,511,528,433,449,15,21,1,1,8,8,,,54,41,13,10,20,12,8,7,,
20,Amiens,FC Nantes,1,2,37,63,3,25,1,6,0,15,2,4,2,5,1,0,9,13,1,1,1,0,13,9,,,15,2,1,3,1,2,0,2,,,,,2,10,1,15,4,0,394,658,308,578,35,37,0,6,8,14,,,60,50,23,10,16,18,17,14,,
40,Lille OSC,Angers,2,1,56,44,13,7,4,3,7,2,2,2,4,4,3,0,3,16,1,2,0,0,12,3,,,6,10,1,1,,,,,2,0,,,7,4,6,3,2,2,595,458,506,367,28,41,2,2,13,5,,,63,43,14,19,25,16,12,10,,
